Tx,Time,MAC,PosX,PosY,Temp,Hum,Pres,Batt,RSSI,HopCount
0,00:00:17,e8:31:cd:70:f1:6c,0.0,0.0,23.0,43,1003,3.9,-33,0
1,00:00:31,e8:31:cd:70:f1:6c,0.0,0.0,22.4,43,1004,3.9,-34,0
1,00:00:09,e8:31:cd:70:f1:7c,0.0,0.0,24.0,43,1003,0.0,-51,1
2,00:00:46,e8:31:cd:70:f1:6c,0.0,0.0,22.4,43,1004,3.9,-33,0
2,00:00:23,e8:31:cd:70:f1:7c,0.0,0.0,23.5,44,1004,0.0,-49,1
3,00:01:02,e8:31:cd:70:f1:6c,0.0,0.0,22.4,42,1004,3.9,-34,0
3,00:00:10,e8:31:cd:70:f0:d4,0.0,0.0,24.4,42,1002,3.4,-60,1
3,00:00:38,e8:31:cd:70:f1:7c,0.0,0.0,23.6,43,1004,0.0,-51,1
4,00:01:18,e8:31:cd:70:f1:6c,0.0,0.0,22.4,43,1004,3.9,-36,0
4,00:00:26,e8:31:cd:70:f0:d4,0.0,0.0,23.5,41,1004,3.4,-73,1
4,00:00:53,e8:31:cd:70:f1:7c,0.0,0.0,23.4,42,1004,0.0,-72,1
5,00:01:34,e8:31:cd:70:f1:6c,0.0,0.0,22.4,42,1004,3.9,-35,0
5,00:00:42,e8:31:cd:70:f0:d4,0.0,0.0,23.1,41,1005,3.4,-90,1
5,00:01:10,e8:31:cd:70:f1:7c,0.0,0.0,23.3,42,1005,0.0,-81,1
6,00:01:50,e8:31:cd:70:f1:6c,0.0,0.0,22.5,42,1004,3.9,-37,0
6,00:00:58,e8:31:cd:70:f0:d4,0.0,0.0,23.0,42,1005,3.4,-89,1
6,00:01:26,e8:31:cd:70:f1:7c,0.0,0.0,23.1,42,1005,0.0,-73,1
7,00:02:06,e8:31:cd:70:f1:6c,0.0,0.0,22.5,42,1004,3.9,-35,0
7,00:01:14,e8:31:cd:70:f0:d4,0.0,0.0,22.9,42,1005,3.4,-88,1
7,00:01:42,e8:31:cd:70:f1:7c,0.0,0.0,23.0,42,1005,0.0,-72,1
8,00:02:22,e8:31:cd:70:f1:6c,0.0,0.0,22.4,43,1004,3.9,-34,0
8,00:01:30,e8:31:cd:70:f0:d4,0.0,0.0,22.9,42,1005,3.4,-87,1
8,00:01:58,e8:31:cd:70:f1:7c,0.0,0.0,23.0,43,1005,0.0,-71,1
9,00:02:38,e8:31:cd:70:f1:6c,0.0,0.0,22.5,43,1004,3.9,-35,0
9,00:01:46,e8:31:cd:70:f0:d4,0.0,0.0,22.8,42,1005,3.4,-87,1
9,00:02:14,e8:31:cd:70:f1:7c,0.0,0.0,23.0,43,1005,0.0,-73,1
10,00:02:54,e8:31:cd:70:f1:6c,0.0,0.0,22.4,43,1004,3.9,-35,0
10,00:02:02,e8:31:cd:70:f0:d4,0.0,0.0,22.7,42,1005,3.4,-89,1
10,00:02:30,e8:31:cd:70:f1:7c,0.0,0.0,22.9,44,1005,0.0,-82,1
11,00:02:18,e8:31:cd:70:f0:d4,0.0,0.0,22.6,42,1005,3.4,-87,1
11,00:03:08,e8:31:cd:70:f1:6c,0.0,0.0,22.4,43,1004,3.9,-35,0
11,00:03:21,e8:31:cd:70:f1:6c,0.0,0.0,22.4,43,1004,3.9,-36,0
12,00:03:33,e8:31:cd:70:f1:6c,0.0,0.0,22.5,43,1004,3.9,-38,0
12,00:02:19,e8:31:cd:70:f0:d4,0.0,0.0,22.6,42,1005,3.4,-87,1
12,00:02:19,e8:31:cd:70:f1:7c,0.0,0.0,23.2,41,1005,0.0,-62,2
12,00:02:33,e8:31:cd:70:f0:d4,0.0,0.0,22.6,43,1005,3.4,-88,1
12,00:03:47,e8:31:cd:70:f1:6c,0.0,0.0,22.5,43,1004,3.9,-35,0
13,00:03:11,e8:31:cd:70:f0:d4,0.0,0.0,22.4,43,1006,3.4,-85,1
13,00:04:02,e8:31:cd:70:f1:6c,0.0,0.0,22.4,43,1004,3.9,-37,0
14,00:04:14,e8:31:cd:70:f1:6c,0.0,0.0,22.3,42,1004,3.9,-36,0
14,00:03:12,e8:31:cd:70:f0:d4,0.0,0.0,22.4,43,1006,3.4,-85,1
14,00:03:12,e8:31:cd:70:f1:7c,0.0,0.0,25.4,37,1001,0.4,-54,2
15,00:03:38,e8:31:cd:70:f0:d4,0.0,0.0,22.3,43,1006,3.4,-86,1
15,00:04:28,e8:31:cd:70:f1:6c,0.0,0.0,22.3,42,1004,3.9,-35,0
16,00:04:41,e8:31:cd:70:f1:6c,0.0,0.0,22.3,42,1004,3.9,-36,0
16,00:03:39,e8:31:cd:70:f0:d4,0.0,0.0,22.3,43,1006,3.4,-86,1
16,00:03:39,e8:31:cd:70:f1:7c,0.0,0.0,25.2,36,1001,0.0,-60,2
16,00:04:57,e8:31:cd:70:f1:6c,0.0,0.0,22.2,42,1004,3.9,-35,0
16,00:03:52,e8:31:cd:70:f0:d4,0.0,0.0,22.3,43,1006,3.4,-85,1
16,00:04:20,e8:31:cd:70:f1:7c,0.0,0.0,25.0,36,1002,0.0,-95,1
