Tx,Time,MAC,PosX,PosY,Temp,Hum,Pres,Batt,RSSI,HopCount
0,17:33:52,e8:31:cd:70:f1:6c,-33.90342,18.85684,24.2,39,1000,3.7,-35,0
0,00:09:06,e8:31:cd:70:f0:d4,0.0,0.0,23.6,42,1003,3.2,-59,1
0,00:09:06,e8:31:cd:70:f1:7c,-33.90515,18.85663,19.8,50,1010,0.0,-89,2
1,17:34:10,e8:31:cd:70:f1:6c,-33.90343,18.85683,23.8,39,1001,3.7,-35,0
1,00:09:24,e8:31:cd:70:f0:d4,0.0,0.0,23.7,42,1003,3.2,-59,1
1,00:09:24,e8:31:cd:70:f1:7c,-33.90519,18.85658,19.8,50,1010,0.0,-87,2
2,17:34:27,e8:31:cd:70:f1:6c,-33.90343,18.85682,23.7,39,1001,3.7,-35,0
2,00:09:41,e8:31:cd:70:f0:d4,0.0,0.0,23.8,42,1003,3.2,-59,1
2,00:09:41,e8:31:cd:70:f1:7c,-33.90517,18.85654,19.7,50,1010,0.0,-86,2
3,17:34:44,e8:31:cd:70:f1:6c,-33.90341,18.85681,23.8,39,1001,3.7,-36,0
3,00:09:58,e8:31:cd:70:f0:d4,0.0,0.0,23.6,42,1003,3.2,-59,1
3,00:09:58,e8:31:cd:70:f1:7c,-33.90509,18.85644,19.7,50,1010,0.0,-88,2
4,17:35:01,e8:31:cd:70:f1:6c,-33.90339,18.85678,23.8,39,1001,3.7,-37,0
4,00:10:15,e8:31:cd:70:f0:d4,0.0,0.0,23.5,42,1003,3.2,-58,1
4,00:10:15,e8:31:cd:70:f1:7c,-33.90507,18.85632,19.7,50,1010,0.0,-85,2
5,17:35:18,e8:31:cd:70:f1:6c,-33.90339,18.85677,23.6,39,1001,3.7,-38,0
5,00:10:32,e8:31:cd:70:f0:d4,0.0,0.0,23.4,42,1003,3.2,-58,1
5,00:10:32,e8:31:cd:70:f1:7c,-33.90508,18.8562,19.7,50,1010,0.0,-90,2
6,17:35:35,e8:31:cd:70:f1:6c,-33.9033,18.85666,23.5,39,1002,3.7,-37,0
6,00:10:49,e8:31:cd:70:f0:d4,0.0,0.0,23.3,42,1003,3.2,-58,1
6,00:10:49,e8:31:cd:70:f1:7c,-33.90524,18.85611,19.8,50,1010,0.0,-87,2
7,00:11:06,e8:31:cd:70:f0:d4,0.0,0.0,23.3,43,1003,3.2,-60,1
7,17:35:52,e8:31:cd:70:f1:6c,-33.90328,18.85669,23.4,39,1002,3.7,-37,0
8,17:36:05,e8:31:cd:70:f1:6c,-33.90349,18.8569,23.5,39,1002,3.7,-39,0
8,00:11:06,e8:31:cd:70:f0:d4,0.0,0.0,23.3,43,1003,3.2,-60,1
8,00:11:06,e8:31:cd:70:f1:7c,-33.9053,18.85615,19.7,50,1010,0.0,-88,2
8,17:36:18,e8:31:cd:70:f1:6c,-33.90347,18.85688,23.4,39,1002,3.7,-38,0
8,00:11:23,e8:31:cd:70:f0:d4,0.0,0.0,23.2,43,1004,3.2,-59,1
8,00:11:23,e8:31:cd:70:f1:7c,-33.90501,18.85626,19.6,50,1010,0.0,-88,2
