Tx,Time,MAC,PosX,PosY,Temp,Hum,Pres,Batt,RSSI,HopCount
0,00:00:15,e8:31:cd:70:f1:6c,0.0,0.0,23.51,32.48,1005.01,1.136,-51.0,0
0,00:00:25,e8:31:cd:70:f1:7c,0.0,0.0,24.24,37.13,1005.64,3.997,-59.0,1
1,00:00:30,e8:31:cd:70:f1:6c,0.0,0.0,22.97,32.72,1005.98,1.133,-48.0,0
1,00:00:40,e8:31:cd:70:f1:7c,0.0,0.0,23.58,37.49,1006.68,3.997,-72.0,1
2,00:00:44,e8:31:cd:70:f1:6c,0.0,0.0,23.02,33.01,1005.92,1.134,-46.0,0
2,00:00:54,e8:31:cd:70:f1:7c,0.0,0.0,21.99,35.71,1009.28,3.995,-75.0,1
3,00:00:59,e8:31:cd:70:f1:6c,0.0,0.0,22.91,32.92,1006.04,1.134,-46.0,0
3,16:18:15,e8:31:cd:70:f1:7c,-33.8192,18.98154,20.56,38.75,1011.82,3.992,-76.0,1
4,00:01:13,e8:31:cd:70:f1:6c,0.0,0.0,22.98,32.84,1005.92,1.134,-43.0,0
4,16:18:30,e8:31:cd:70:f1:7c,-33.81946,18.98139,20.41,38.96,1012.06,3.991,-84.0,1
5,00:01:34,e8:31:cd:70:f1:6c,0.0,0.0,22.85,33.02,1006.29,1.133,-53.0,0
5,00:01:34,e8:31:cd:70:f1:6c,0.0,0.0,22.85,33.02,1006.29,1.133,-53.0,0
5,16:18:44,e8:31:cd:70:f1:7c,-33.81947,18.9814,20.01,40.99,1012.85,3.990,-85.0,1
6,16:19:09,e8:31:cd:70:f1:7c,-33.81957,18.98141,19.75,40.92,1013.22,3.988,-92.0,1
6,00:01:51,e8:31:cd:70:f1:6c,0.0,0.0,22.89,33.01,1006.18,1.134,-50.0,0
6,00:00:09,e8:31:cd:70:fd:54,0.0,0.0,21.25,45.25,1007.76,3.987,-31.0,1
7,16:19:23,e8:31:cd:70:f1:7c,-33.81957,18.98141,19.55,41.18,1013.57,3.993,-91.0,1
7,00:02:05,e8:31:cd:70:f1:6c,0.0,0.0,22.82,33.08,1006.32,1.134,-54.0,0
7,00:00:23,e8:31:cd:70:fd:54,0.0,0.0,20.93,39.66,1008.26,3.985,-49.0,1
8,16:19:50,e8:31:cd:70:fd:54,-33.81929,18.98188,19.45,38.50,1010.83,3.867,-78.0,1
8,00:02:19,e8:31:cd:70:f1:6c,0.0,0.0,22.88,33.03,1006.15,1.133,-53.0,0
8,16:19:37,e8:31:cd:70:f1:7c,-33.81957,18.98141,19.33,42.42,1013.98,3.993,-90.0,1
9,16:20:05,e8:31:cd:70:fd:54,-33.81927,18.98187,18.16,41.07,1013.16,3.982,-91.0,1
9,00:02:34,e8:31:cd:70:f1:6c,0.0,0.0,22.92,33.16,1006.07,1.133,-53.0,0
9,16:19:50,e8:31:cd:70:f1:7c,-33.81954,18.98144,18.90,42.07,1014.59,3.984,-89.0,1
10,00:02:48,e8:31:cd:70:f1:6c,0.0,0.0,22.97,32.97,1005.98,1.133,-53.0,0
10,16:20:19,e8:31:cd:70:fd:54,-33.81918,18.98192,17.56,42.90,1014.17,3.978,-84.0,1
11,00:03:02,e8:31:cd:70:f1:6c,0.0,0.0,22.93,33.09,1006.07,1.134,-52.0,0
11,16:20:33,e8:31:cd:70:fd:54,-33.81918,18.98185,17.29,43.64,1014.58,3.974,-76.0,1
11,00:03:14,e8:31:cd:70:f1:6c,0.0,0.0,22.96,32.95,1006.01,1.132,-49.0,0
